id,code,description,group_ids/id,name,sequence
__export__.eschool_level_3,EX,,__export__.eschool_course_division_1,EX,0
__export__.eschool_level_4,I,,__export__.eschool_course_division_1,I,1
__export__.eschool_level_5,II,,__export__.eschool_course_division_1,II,2
__export__.eschool_level_6,III,,__export__.eschool_course_division_1,III,3
__export__.eschool_level_7,IIIN,,__export__.eschool_course_division_1,IIIN,4
__export__.eschool_level_8,IIN,,__export__.eschool_course_division_1,IIN,5
__export__.eschool_level_9,IM,,__export__.eschool_course_division_1,IM,6
__export__.eschool_level_10,IN,,__export__.eschool_course_division_1,IN,7
__export__.eschool_level_11,IV,,__export__.eschool_course_division_1,IV,8
__export__.eschool_level_12,IVN,,__export__.eschool_course_division_1,IVN,9
__export__.eschool_level_13,IX,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",IX,10
__export__.eschool_level_14,V,,__export__.eschool_course_division_1,V,11
__export__.eschool_level_15,VI,,__export__.eschool_course_division_1,VI,12
__export__.eschool_level_16,VII,,__export__.eschool_course_division_1,VII,13
__export__.eschool_level_17,VIII,,__export__.eschool_course_division_1,VIII,14
__export__.eschool_level_18,VIIIN,,__export__.eschool_course_division_1,VIIIN,15
__export__.eschool_level_19,VIIN,,__export__.eschool_course_division_1,VIIN,16
__export__.eschool_level_20,VIN,,__export__.eschool_course_division_1,VIN,17
__export__.eschool_level_21,VN,,__export__.eschool_course_division_1,VN,18
__export__.eschool_level_22,X,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",X,19
__export__.eschool_level_23,XI,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XI,20
__export__.eschool_level_24,XII,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XII,21
__export__.eschool_level_25,XIIE,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XIIE,22
__export__.eschool_level_26,XIII,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XIII,23
__export__.eschool_level_27,XIIX,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XIIX,24
__export__.eschool_level_28,XIX,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XIX,25
__export__.eschool_level_29,XO,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XO,26
__export__.eschool_level_30,XXII,,"__export__.eschool_course_division_3,__export__.eschool_course_division_5,__export__.eschool_course_division_4,__export__.eschool_course_division_2",XXII,27
