id,code,name,start_date,end_date
__export__.op_batch_2,2002,2002,2002-01-01,2002-12-31
__export__.op_batch_3,2003,2003,2003-01-01,2003-12-31
__export__.op_batch_4,2004,2004,2004-01-01,2004-12-31
__export__.op_batch_5,2005,2005,2005-01-01,2005-12-31
__export__.op_batch_6,2006,2006,2006-01-01,2006-12-31
__export__.op_batch_7,2007,2007,2007-01-01,2007-12-31
__export__.op_batch_8,2008,2008,2008-01-01,2008-12-31
__export__.op_batch_9,2009,2009,2009-01-01,2009-12-31
__export__.op_batch_10,2010,2010,2010-01-01,2010-12-31
__export__.op_batch_11,2011,2011,2011-01-01,2011-12-31
__export__.op_batch_12,2012,2012,2012-01-01,2012-12-31
__export__.op_batch_13,2013,2013,2013-01-01,2013-12-31
__export__.op_batch_14,2014,2014,2014-01-01,2014-12-31
__export__.op_batch_15,2015,2015,2015-01-01,2015-12-31
__export__.op_batch_16,2016,2016,2016-01-01,2016-12-31
__export__.op_batch_17,2017,2017,2017-01-01,2017-12-31
__export__.op_batch_18,2018,2018,2018-01-01,2018-12-31
