id,group/id,level/id,batch_id/id
__export__.op_course_2,__export__.eschool_course_division_2,__export__.eschool_level_3,__export__.op_batch_18
__export__.op_course_3,__export__.eschool_course_division_1,__export__.eschool_level_4,__export__.op_batch_18
__export__.op_course_4,__export__.eschool_course_division_1,__export__.eschool_level_5,__export__.op_batch_18
__export__.op_course_5,__export__.eschool_course_division_1,__export__.eschool_level_6,__export__.op_batch_18
__export__.op_course_6,__export__.eschool_course_division_1,__export__.eschool_level_7,__export__.op_batch_18
__export__.op_course_7,__export__.eschool_course_division_1,__export__.eschool_level_8,__export__.op_batch_18
__export__.op_course_8,__export__.eschool_course_division_1,__export__.eschool_level_9,__export__.op_batch_18
__export__.op_course_9,__export__.eschool_course_division_1,__export__.eschool_level_10,__export__.op_batch_18
__export__.op_course_10,__export__.eschool_course_division_1,__export__.eschool_level_11,__export__.op_batch_18
__export__.op_course_11,__export__.eschool_course_division_1,__export__.eschool_level_12,__export__.op_batch_18
__export__.op_course_12,__export__.eschool_course_division_1,__export__.eschool_level_13,__export__.op_batch_18
__export__.op_course_13,__export__.eschool_course_division_2,__export__.eschool_level_13,__export__.op_batch_18
__export__.op_course_14,__export__.eschool_course_division_4,__export__.eschool_level_13,__export__.op_batch_18
__export__.op_course_15,__export__.eschool_course_division_5,__export__.eschool_level_13,__export__.op_batch_18
__export__.op_course_16,__export__.eschool_course_division_1,__export__.eschool_level_14,__export__.op_batch_18
__export__.op_course_17,__export__.eschool_course_division_2,__export__.eschool_level_14,__export__.op_batch_18
__export__.op_course_18,__export__.eschool_course_division_1,__export__.eschool_level_15,__export__.op_batch_18
__export__.op_course_19,__export__.eschool_course_division_1,__export__.eschool_level_16,__export__.op_batch_18
__export__.op_course_20,__export__.eschool_course_division_1,__export__.eschool_level_17,__export__.op_batch_18
__export__.op_course_21,__export__.eschool_course_division_2,__export__.eschool_level_17,__export__.op_batch_18
__export__.op_course_22,__export__.eschool_course_division_1,__export__.eschool_level_18,__export__.op_batch_18
__export__.op_course_23,__export__.eschool_course_division_1,__export__.eschool_level_19,__export__.op_batch_18
__export__.op_course_24,__export__.eschool_course_division_1,__export__.eschool_level_20,__export__.op_batch_18
__export__.op_course_25,__export__.eschool_course_division_1,__export__.eschool_level_21,__export__.op_batch_18
__export__.op_course_26,__export__.eschool_course_division_1,__export__.eschool_level_22,__export__.op_batch_18
__export__.op_course_27,__export__.eschool_course_division_2,__export__.eschool_level_22,__export__.op_batch_18
__export__.op_course_28,__export__.eschool_course_division_4,__export__.eschool_level_22,__export__.op_batch_18
__export__.op_course_29,__export__.eschool_course_division_5,__export__.eschool_level_22,__export__.op_batch_18
__export__.op_course_30,__export__.eschool_course_division_1,__export__.eschool_level_23,__export__.op_batch_18
__export__.op_course_31,__export__.eschool_course_division_2,__export__.eschool_level_23,__export__.op_batch_18
__export__.op_course_32,__export__.eschool_course_division_4,__export__.eschool_level_23,__export__.op_batch_18
__export__.op_course_33,__export__.eschool_course_division_1,__export__.eschool_level_24,__export__.op_batch_18
__export__.op_course_34,__export__.eschool_course_division_2,__export__.eschool_level_24,__export__.op_batch_18
__export__.op_course_35,__export__.eschool_course_division_1,__export__.eschool_level_25,__export__.op_batch_18
__export__.op_course_36,__export__.eschool_course_division_2,__export__.eschool_level_25,__export__.op_batch_18
__export__.op_course_37,__export__.eschool_course_division_1,__export__.eschool_level_26,__export__.op_batch_18
__export__.op_course_38,__export__.eschool_course_division_1,__export__.eschool_level_27,__export__.op_batch_18
__export__.op_course_39,__export__.eschool_course_division_2,__export__.eschool_level_27,__export__.op_batch_18
__export__.op_course_40,__export__.eschool_course_division_4,__export__.eschool_level_27,__export__.op_batch_18
__export__.op_course_41,__export__.eschool_course_division_1,__export__.eschool_level_28,__export__.op_batch_18
__export__.op_course_42,__export__.eschool_course_division_1,__export__.eschool_level_29,__export__.op_batch_18
__export__.op_course_43,__export__.eschool_course_division_2,__export__.eschool_level_29,__export__.op_batch_18
__export__.op_course_44,__export__.eschool_course_division_4,__export__.eschool_level_29,__export__.op_batch_18
__export__.op_course_45,__export__.eschool_course_division_1,__export__.eschool_level_30,__export__.op_batch_18
__export__.op_course_46,__export__.eschool_course_division_2,__export__.eschool_level_30,__export__.op_batch_18
__export__.op_course_47,__export__.eschool_course_division_4,__export__.eschool_level_30,__export__.op_batch_18
